Sample_ID,Temp,pH,Trial
blank,24.1,5.07,1
DSC_003,23.3,4.67,1
DSC_005,23.1,4.74,1
DSC_006,22.8,4.69,1
blank,23.7,4.88,2
DSC_003,23,4.67,2
DSC_005,22.7,4.74,2
DSC_006,22.5,4.69,2
blank,22.8,4.83,1
blank,22.8,4.86,1
DSC_003,22.9,4.77,1
DSC_003,22.9,4.76,1
DSC_005,22.7,4.73,1
DSC_006,22.8,4.69,1
blank,23,5.19,2
DSC_003,23,4.86,2
DSC_003,23,4.67,2
DSC_005,22.5,4.73,2
blank,22.7,5.15,1
DSC_003,23.5,4.69,1
DSC_005,23.5,4.73,1
DSC_006,23.5,4.71,1
blank,25,5.33,2
DSC_003,25,4.67,2
DSC_005,25,4.73,2
DSC_006,25,4.74,2
