Sample_ID,shake_time_min,temp_C_measured,pH,trial_type,repeated_measurement,notes
blank,20,22.3,5.2,as_planned,A,temperature measurment from unshaken aliquot of CaCl2
DSC_004,20,22.3,5.11,as_planned,A,temperature measurment from unshaken aliquot of CaCl3
DSC_003,20,22.3,5,as_planned,A,temperature measurment from unshaken aliquot of CaCl4
DSC_002,20,22.3,4.99,as_planned,A,temperature measurment from unshaken aliquot of CaCl5
blank,20,22.3,5.09,as_planned,B,temperature measurment from unshaken aliquot of CaCl6
DSC_004,20,22.3,5.05,as_planned,B,temperature measurment from unshaken aliquot of CaCl7
DSC_003,20,22.3,4.94,as_planned,B,temperature measurment from unshaken aliquot of CaCl8
DSC_002,20,22.3,4.96,as_planned,B,temperature measurment from unshaken aliquot of CaCl9
blank,20,23.5,5.01,decant,A,
DSC_004,20,23.3,4.98,decant,A,
DSC_003,20,23.5,4.91,decant,A,
DSC_002,20,23.3,4.9,decant,A,
blank,20,23.3,5.05,decant,B,
DSC_004,20,23.2,5.02,decant,B,
DSC_003,20,23.3,4.89,decant,B,
DSC_002,20,23.3,4.88,decant,B,
blank,40,22.1,5.04,as_planned,A,
DSC_004,40,22.1,4.9,as_planned,A,
DSC_003,40,22.1,4.73,as_planned,A,
DSC_002,40,22.1,4.76,as_planned,A,
blank,40,22.1,4.91,as_planned,B,
DSC_004,40,22.1,4.84,as_planned,B,
DSC_003,40,22.1,4.69,as_planned,B,
DSC_002,40,22.1,4.73,as_planned,B,
blank,40,23.6,5.02,decant,A,
DSC_004,40,23.8,4.87,decant,A,
DSC_003,40,23.6,4.78,decant,A,
DSC_002,40,23.5,4.79,decant,A,
blank,40,23.6,5.05,decant,B,
DSC_004,40,23.7,4.9,decant,B,
DSC_003,40,23.5,4.77,decant,B,
DSC_002,40,23.5,4.79,decant,B,
blank,60,23.1,5.82,decant,A,
DSC_004,60,23,5.72,decant,A,
DSC_003,60,22.9,5.57,decant,A,
DSC_002,60,22.9,5.44,decant,A,
blank,60,23,5.48,decant,B,
DSC_004,60,23,5.42,decant,B,
DSC_003,60,22.7,5.34,decant,B,
DSC_002,60,22.7,5.26,decant,B,
blank,80,22.9,5.76,decant,A,
DSC_004,80,22.8,5.59,decant,A,
DSC_003,80,22.8,5.26,decant,A,
DSC_002,80,22.7,5.2,decant,A,
blank,80,22.8,5.27,decant,B,
DSC_004,80,22.7,5.19,decant,B,
DSC_003,80,22.6,5.08,decant,B,
DSC_002,80,22.6,5.06,decant,B,
blank,100,22.9,5.79,decant,A,
DSC_004,100,23.1,5.04,decant,A,
DSC_003,100,22.8,5.02,decant,A,
DSC_002,100,22.9,4.85,decant,A,
blank,100,23,5.28,decant,B,
DSC_004,100,23.1,4.73,decant,B,
DSC_003,100,22.2,4.71,decant,B,
DSC_002,100,22,4.75,decant,B,
blank,120,22.6,4.96,decant,A,
DSC_004,120,22.4,4.9,decant,A,
DSC_003,120,22.4,4.79,decant,A,
DSC_002,120,22.3,4.82,decant,A,
blank,120,23,5.02,decant,B,
DSC_004,120,22.7,4.95,decant,B,
DSC_003,120,22.7,4.83,decant,B,
DSC_002,120,22.1,4.84,decant,B,
