Sample_ID,shake_time_min,temp_C_measured,pH,repeated_measurement,notes
blank ,30,22.1,5.88,A,
DSC_004,30,22.1,5.52,A,
DSC_003,30,22.4,5.23,A,
DSC_002,30,22.4,5.18,A,
blank ,30,22.2,5.31,B,
DSC_004,30,22.2,5.16,B,
DSC_003,30,22.3,4.88,B,
DSC_002,30,22.3,4.9,B,
blank ,60,22,5.15,A,
DSC_004,60,21.7,4.93,A,
DSC_003,60,21.7,4.83,A,
DSC_002,60,22.4,4.84,A,
blank ,60,22.3,5.02,B,
DSC_004,60,21.9,4.89,B,
DSC_003,60,22,4.85,B,
DSC_002,60,22.1,4.82,B,
blank ,90,22.1,5.68,A,
DSC_004,90,22.4,5.52,A,
DSC_003,90,22.3,5.16,A,
DSC_002,90,22.3,5.09,A,
blank ,90,22.2,5.13,B,
DSC_004,90,22,4.98,B,
DSC_003,90,22,4.93,B,
DSC_002,90,22.1,4.89,B,
