Sample_ID,Site,Core_ID,fraction,Scribe_initials,Subsampling_team
DSC_071,SOAP,B-E,0-15_cm,CST,B
DSC_072,SOAP,B-E,15-30_cm,CST,B
DSC_073,SOAP,B-E,30-50_cm,CST,B
DSC_080,SOAP,B-R,0-15_cm,CST,B
DSC_081,SOAP,B-R,30-50_cm,CST,B
DSC_084,SOAP,B-R,15-30_cm,CST,B
DSC_089,SOAP,B-S,15-30_cm,CST,B
DSC_090,SOAP,B-S,30-50_cm,CST,B
DSC_091,SOAP,B-S,0-15_cm,CST,B
DSC_009,SOAP,B-R,15-30_cm,MK,A
DSC_012,SOAP,B-F,0-15_cm,MK+AG,A
DSC_013,SOAP,B-F,30-50_cm,MK+AG,A
DSC_018,SOAP,B-S,0-15_cm,MK,A
DSC_023,SOAP,B-H,15-30_cm,MK,A
DSC_024,SOAP,B-H,30-50_cm,MK,A
DSC_031,SOAP,B-U,0-15_cm,MK,A
DSC_092,SOAP,B-U,15-30_cm,CST,B
DSC_093,SOAP,B-U,30-50_cm,CST,B
DSC_048,NEWT,U-02,0-15_cm,VF,A
DSC_052,NEWT,not_specified,15-30_cm,VF,A
DSC_053,NEWT,not_specified,30-50_cm,VF,A
DSC_035,NEWT,U-M,15-30_cm,VF,A
DSC_036,NEWT,U-M,30-50_cm,VF,A
DSC_038,NEWT,U-Z,0-15_cm,VF,A
DSC_041,NEWT,U-K,O,VF,A
DSC_042,NEWT,U-X,O,VF,A
DSC_044,NEWT,U-01,O,VF,A
DSC_045,NEWT,U-01,15-30_cm,VF,A
DSC_047,NEWT,U-02,0-15_cm,VF,A
DSC_094,NEWT,U-M,O,KN,B
DSC_095,NEWT,U-Z,O,KN,B
DSC_096,NEWT,U-M,0-15_cm,KN,B
DSC_102,NEWT,U-Z,15-30_cm,KN,B
DSC_103,NEWT,U-Z,30-50_cm,KN,B
DSC_104,NEWT,U-J,O,KN,B
DSC_105,NEWT,U-W,O,KN,B
DSC_106,NEWT,U-02,O,KN,B
DSC_107,NEWT,U-01,0-15_cm,KN,B
DSC_046,NEWT,U-01,30-50_cm,KN,B
DSC_108,NEWT,U-02,15-30_cm,KN,B
DSC_109,NEWT,U-02,30-50_cm,KN,B
DSC_110,NEWT,U-J,15-30_cm,AG,B
DSC_111,NEWT,U-J,30-50_cm,AG,B
DSC_112,NEWT,U-W,0-15_cm,AG,B
