Sample_ID,Site,Core_ID,fraction
DSC_009,SOAP,B-R,15-30_cm
DSC_012,SOAP,B-F,0-15_cm
DSC_013,SOAP,B-F,30-50_cm
DSC_018,SOAP,B-S,0-15_cm
DSC_023,SOAP,B-H,15-30_cm
DSC_024,SOAP,B-H,30-50_cm
DSC_031,SOAP,B-U,0-15_cm
DSC_035,NEWT,U-M,15-30_cm
DSC_036,NEWT,U-M,30-50_cm
DSC_038,NEWT,U-Z,0-15_cm
DSC_041,NEWT,U-K,O
DSC_042,NEWT,U-X,O
DSC_044,NEWT,U-01,O
DSC_045,NEWT,U-01,15-30_cm
DSC_046,NEWT,U-01,30-50_cm
DSC_047,NEWT,U-02,0-15_cm
DSC_048,NEWT,U-02,0-15_cm
DSC_052,NEWT,not_specified,15-30_cm
DSC_053,NEWT,not_specified,30-50_cm
DSC_071,SOAP,B-E,0-15_cm
DSC_072,SOAP,B-E,15-30_cm
DSC_073,SOAP,B-E,30-50_cm
DSC_080,SOAP,B-R,0-15_cm
DSC_081,SOAP,B-R,30-50_cm
DSC_084,SOAP,B-R,15-30_cm
DSC_089,SOAP,B-S,15-30_cm
DSC_090,SOAP,B-S,30-50_cm
DSC_091,SOAP,B-S,0-15_cm
DSC_092,SOAP,B-U,15-30_cm
DSC_093,SOAP,B-U,30-50_cm
DSC_094,NEWT,U-M,O
DSC_095,NEWT,U-Z,O
DSC_096,NEWT,U-M,0-15_cm
DSC_102,NEWT,U-Z,15-30_cm
DSC_103,NEWT,U-Z,30-50_cm
DSC_104,NEWT,U-J,O
DSC_105,NEWT,U-W,O
DSC_106,NEWT,U-02,O
DSC_107,NEWT,U-01,0-15_cm
DSC_108,NEWT,U-02,15-30_cm
DSC_109,NEWT,U-02,30-50_cm
DSC_110,NEWT,U-J,15-30_cm
DSC_111,NEWT,U-J,30-50_cm
DSC_112,NEWT,U-W,0-15_cm
