"This sheet is not a faithful transcription -- tabling this for later. Anna is going through the core datasheets and making a list of all the sample_IDs we assigned + metadata about them, reformatting as she feels most useful right now 20260922",Sample_ID,Core_ID,fraction,YZ processed?,extra_pieces,other_notes,depth_interval_calculated_in_field
,DSC_360,B-F,O,,,litter only,
,DSC_300,B-F,0-15_cm,,,,
,DSC_310,B-F,15-30_cm,,,,
,DSC_301,B-F,30-50_cm,,,,
,DSC_358,B-F,50-100_cm,,,,
,DSC_359,B-F,100-150_cm,,shoe,,100-153
,DSC_357,B-F,150-200_cm,,,,
,DSC_356,B-F,200-300_cm,,"shoe, two tube pieces total",,
,DSC_355,B-F,300-400_cm,,shoe,,
,does_not_exist,B-F,400-500_cm,,,,
,DSC_361,B-S,O,,,litter only,
,DSC_302,B-S,0-15_cm,,,,
,DSC_311,B-S,15-30_cm,,,,
,DSC_312,B-S,30-50_cm,,,,
,DSC_353,B-S,50-100_cm,,,,
,DSC_352,B-S,100-150_cm,,shoe,,
,DSC_351,B-S,150-200_cm,,,,
,DSC_350,B-S,200-300_cm,,,,
,DSC_349,B-S,300-400_cm,,,,
,DSC_348,B-S,400-500_cm,,shoe,,
,DSC_347,B-E,O,,,litter only,
,DSC_313,B-E,0-15_cm,,,,
,DSC_303,B-E,15-30_cm,,,,
,DSC_304,B-E,30-50_cm,,,,
,DSC_343,B-E,50-100_cm,,,,
,DSC_342,B-E,100-150_cm,,shoe,,
,DSC_341,B-E,150-200_cm,,,,
,DSC_340,B-E,200-300_cm,,"shoe, two tube pieces total",,
,does_not_exist,B-E,300-400_cm,,,,
,does_not_exist,B-E,400-500_cm,,,,
,DSC_346,B-R,O,,,,litter only
,DSC_305,B-R,0-15_cm,,,,
,DSC_314,B-R,15-30_cm,,,,
,DSC_315,B-R,30-50_cm,,,,
,DSC_339,B-R,50-100_cm,,,,
,DSC_338,B-R,100-150_cm,,shoe,,100-124
,does_not_exist,B-R,150-200_cm,,,,
,does_not_exist,B-R,200-300_cm,,,,
,does_not_exist,B-R,300-400_cm,,,,
,does_not_exist,B-R,400-500_cm,,,,
,DSC_345,B-H,O,,,,litter only
,DSC_316,B-H,0-15_cm,,,,
,DSC_306,B-H,15-30_cm,,,,
,DSC_307,B-H,30-50_cm,,,,
,DSC_337,B-H,50-100_cm,,,,
,DSC_336,B-H,100-150_cm,,shoe,,
,DSC_335,B-H,150-200_cm,,,,
,DSC_334,B-H,200-300_cm,,"shoe, two total tube pieces",,
,DSC_333,B-H,300-400_cm,,,,
,DSC_334,B-H,400-500_cm,,two shoes and one tube piece,,
,DSC_344,B-U,O,,,litter only,
,DSC_308,B-U,0-15_cm,,,,
,DSC_317,B-U,15-30_cm,,,,
,DSC_318,B-U,30-50_cm,,,,
,DSC_331,B-U,50-100_cm,,,,
,DSC_330,B-U,100-150_cm,,shoe,,
,DSC_329,B-U,150-200_cm,,,,
,DSC_328,B-U,200-300_cm,,shoe,,
,does_not_exist,B-U,300-400_cm,,,,
,does_not_exist,B-U,400-500_cm,,,,
,DSC_200,U-M,O,,,,
,DSC_201,U-M,0-15_cm,,,,
,DSC_214,U-M,15-30_cm,,,,
,DSC_215,U-M,30-50_cm,,,,
,DSC_262,U-M,50-100_cm,,,,
,DSC_261,U-M,100-150_cm,,shoe,,
,DSC_260,U-M,150-200_cm,,,,
,DSC_259,U-M,200-300_cm,,shoe,,
,DSC_258,U-M,300-400_cm,,,,
,DSC_257,U-M,400-500_cm,,shoe,,
,DSC_213,U-Z,O,,,,
,DSC_216,U-Z,0-15_cm,,,,
,DSC_202,U-Z,15-30_cm,,,,
,DSC_203,U-Z,30-50_cm,,,,
,DSC_256,U-Z,50-100_cm,,,,
,DSC_255,U-Z,100-150_cm,,shoe,,
,does_not_exist,U-Z,150-200_cm,,,,
,does_not_exist,U-Z,200-300_cm,,,,
,does_not_exist,U-Z,300-400_cm,,,,
,does_not_exist,U-Z,400-500_cm,,,,
,DSC_204,U-01,O,,,,
,DSC_218,U-01,0-15_cm,,,,
,DSC_206,U-01,15-30_cm,,,,
,DSC_205,U-01,30-50_cm,,,,
,DSC_254,U-01,50-100_cm,,,,
,DSC_253,U-01,100-150_cm,,shoe,,
,DSC_252,U-01,150-200_cm,,,,
,DSC_251,U-01,200-300_cm,,"shoe, two total tube pieces",,
,DSC_250,U-01,300-400_cm,,"shoe, three total tube pieces",,
,DSC_249,U-01,400-500_cm,,,,
,DSC_217,U-02,O,,,,
,DSC_207,U-02,0-15_cm,,,,
,DSC_219,U-02,15-30_cm,,,,
,DSC_220,U-02,30-50_cm,,,,
,DSC_248,U-02,50-100_cm,,,,
,DSC_247,U-02,100-150_cm,,shoe,,
,DSC_246,U-02,150-200_cm,,,,
,DSC_245,U-02,200-300_cm,,"shoe, two total tube pieces",,
,DSC_244,U-02,300-400_cm,,shoe,,
,does_not_exist,U-02,400-500_cm,,,,
,DSC_221,U-W,O,,,,
,DSC_211,U-W,0-15_cm,,,,
,DSC_223,U-W,15-30_cm,,,,
,DSC_224,U-W,30-50_cm,,,,
,DSC_239,U-W,50-100_cm,,,,
,DSC_238,U-W,100-150_cm,,shoe,,150-158
,does_not_exist,U-W,150-200_cm,,,,
,does_not_exist,U-W,200-300_cm,,,,
,does_not_exist,U-W,300-400_cm,,,,
,does_not_exist,U-W,400-500_cm,,,,
,DSC_208,U-J,O,,,,
,DSC_222,U-J,0-15_cm,,,,
,DSC_209,U-J,15-30_cm,,,,
,DSC_210,U-J,30-50_cm,,,,
,DSC_243,U-J,50-100_cm,,,,
,DSC_242,U-J,100-150_cm,,shoe,,
,DSC_241,U-J,150-200_cm,,,,153-200
,DSC_240,U-J,200-300_cm,,shoe,,200-216
,does_not_exist,U-J,300-400_cm,,,,
,does_not_exist,U-J,400-500_cm,,,,
