Sampling_date,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260616,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617,20260617
Site,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,SOAP,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT,NEWT
Scribe_initials,CST,CST,CST,CST,CST,CST,CST,CST,CST,MK,MK+AG,MK+AG,MK,MK,MK,MK,CST,CST,VF,VF,VF,VF,VF,VF,KN,KN,KN,KN,KN,KN,KN,KN,KN,KN,KW,KW,AG,AG,AG,VF,VF,VF
Siever_1_initials,KN,AG,KN,KN,EF,EF,EF,KN,KN,AS,VF,AS,AS,VF,AS,VF,KN,EF,AS,MK,AS,AS,MK,AS,EF,CST,CST,EF,CST,EF,CST,CST,EF,CST,EF,CST,CST,EF,CST,AS,MK,AS
Siever_2_initials,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VF,MK,N/A,MK,N/A,N/A,AS,N/A,N/A,N/A,N/A,MK,MK,N/A,MK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Equip_mgr_initials,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MK,AG+MK,AG+MK,AG+MK,AG+MK,AG+MK,AG+MK,AG,AG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lroot_empty_mass,15.5,15.78,15.5,15.5,15.78,15.78,15.78,15.5,15.5,15.33,23.45,15.33,15.33,23.45,15.33,15.33,15.5,15.78,15.61,23.26,15.61,N/A,23.26,15.61,N/A,N/A,15.85,15.43,15.85,N/A,N/A,N/A,15.43,15.85,15.43,15.85,15.85,15.43,15.85,15.61,23.26,15.61
rock_empty_mass,15.5,15.62,15.5,15.5,15.62,15.62,15.78,15.5,15.5,17.05,22.42,17.05,17.05,22.42,17.05,17.05,15.5,15.62,15.6,22.52,15.6,N/A,22.52,15.6,N/A,N/A,10.24,16.87,10.24,N/A,N/A,10.24,16.87,10.24,16.87,10.24,10.24,16.87,10.24,15.6,22.52,15.6
Core_ID,B-E,B-E,B-E,B-R,B-R,B-F,B-S,B-S,B-H,B-R,B-F,B-F,B-F,B-H,B-U,B-U,B-U,B-U,U-M,U-M,U-Z,U-01,U-01,U-02,U-M,U-Z,U-M,U-Z,U-Z,U-J,U-W,U-02,U-01,U-01,U-02,U-02,U-J,U-J,U-W,U-J,U-W,U-W
fraction,0-15_cm,15-30_cm,30-50_cm,0-15_cm,30-50_cm,15-30_cm,15-30_cm,30-50_cm,0-15_cm,15-30_cm,0-15_cm,30-50_cm,0-15_cm,15-30_cm,0-15_cm,0-15_cm,15-30_cm,30-50_cm,15-30_cm,30-50_cm,0-15_cm,O,15-30_cm,0-15_cm,O,O,0-15_cm,15-30_cm,30-50_cm,O,O,O,0-15_cm,30-50_cm,15-30,30-50,15-30,30-50,0-15,0-15,15-30,30-50
Sample_ID,DSC_071,DSC_072,DSC_073,DSC_080,DSC_081,DSC_084,DSC_089,DSC_090,DSC_091,DSC_009,DSC_012,DSC_013,DSC_018,DSC_023,DSC_024,DSC_031,DSC_092,DSC_093,DSC_035,DSC_036,DSC_038,DSC_044,DSC_045,DSC_047,DSC_094,DSC_095,DSC_096,DSC_102,DSC_103,DSC_104,DSC_105,DSC_106,DSC_107,DSC_046,DSC_108,DSC_109,DSC_110,DSC_111,DSC_112,DSC_048,DSC_052,DSC_053
