sieve_date,20260619,20260619,20260619,20260619,20260619,20260619,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260620,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260621,20260622,20260622,20260622,20260622,20260623,20260622,20260622,20260622,20260622,20260622,20260622,20260622,20260622,20260622,20260623,20260623,20260623,20260623,20260623,20260623,20260623,20260623
Scribe_initials,AG,LB,GDB,GDB,LB,LB,GRB,LB / SM,LB,GDB,ND / SJS,AG,AG,GDB,GDB,SJS,SJS,GDB,SJS,SJS,LB / GDB,GDB / LB,EF / AS,EF,EF / AS,ND,SJS / GDB,ND / SJS,SJS,EF / AS,EF / AS,GDB,GDB/EF,SJS,GDB / EF,LB/GB,ND / SJS,GDB / SJS / ND,ND / SJS,SJS,NJD / SJS,SJS,ND/SJS,LB/EF,SJS / ND,LB,EF,EF,ND / SM,EF / SJS,EF,ND / SM,LB
Siever_1_initials,GDB,AG,AS,EF,AG,AG,EF,SM,EF,EF,ND,EF,EF,SS,SS,SJS,SJS,SJS,AG,ND,LB,LB,AS,EF,EF,SJS,SJS,ND,EF,EF,EF,EF,GDB,ND,EF,LB/GB,ND,GDB / SJS,ND,GDB,ND,ND,ND/SJS,EF,SJS,AS,AS,EF,ND,SJS,EF,SM,AS
Siever_2_initials,EF,ND,EF,SS,ND,ND,SM,EF,LB,NA,SJS,AG,AG,ND,ND,ND,ND,ND,SJS,SJS,ND,GDB,EF,AS,AS,ND,GDB,SJS,SJS,AS,AS,GDB,EF,SJS,GDB,N/A,SJS,ND,SJS,SJS,SJS,SJS,SJS,LB,ND,LB,EF,AS,SM,EF,GDB / SJS,ND,LB
Lroot_empty_mass_g,15.93,15.28,23,15.84,23.26,15.78,15.28,15.3,15.28,15.33,N/A,15.76,15.76,16,23.25,15.8,N/A,16,15.76,15.82,N/A,15.29,15.24,15.28,15.32,15.82,15.85,15.76,23.3,15.26,15.26,15.76,15.73,15.85,15.75,1.86,28.87,9.71,14,15.77,9.64,9.64,28.82,15.26,13.95,15.26,16.16,15.82,9.66,16,15.84,15.75,15.27
rock_empty_mass_g,9.71,16.96,15.83,23,24.11,17.2,15.82,16,15.82,15.78,10.29,15.67,15.67,17.2,10.27,16.94,15.71,16.92,22.405,10.33,15.82,15.78,23,23.05,13,16.91,22.47,10.26,15.72,23.06,23,22.97,23,16.96,23,N/A,15.79,16.91,15.78,10.28,10.24,16.92,15.76,23.18,10.29,23,15.85,15.77,9.7,16.23,15.82,16.89,23
fraction (if written on sample tube),100-158,50-100,200-279,50-100,50-100,100-150,not specified,150-200,150-200,150-200,100-150,300-400,300-401,150-200,100-150,150-212,50-100,310-400,200-291,5-6.5,200-300,300-400,150-200,300+,150-200,100-150,200-300,50-100,200-300,150-200,150-200,300-400,200-300,200-300,400-505,N/A,400-500,100-150,50-100,100-150,50-100,50-100,150-200,50-100,100-150,100-150+shoe,200-300,50-100,406-473,100-150,50-100,100-150,100
other_info_on_sample_tube (if present),N/A,N/A,5-10ft,N/A,U-W,N/A,N/A,BE 5 --> 10,5 --> 10,U-M 5-10,83,BF 10-15,BF 10-16,N/A,N/A,W/shoe,N/A,UZ 10-14.5,U-02 5-10 with shoe,U-W 5-10ft shoe,N/A,+shoe 10-15 UM,5-10,10-11 -->,5 --> 9,U-J shoe 0-5 ft,U-Z + 5-10 shoe + extra to 300,N/A,5-10ft U-M xtra colm from tube + shoe seg 2,N/A,N/A,BH 10--> 15,N/A,B-S,400-500 Y2,B-F 260616 shoe from 15,BH 10-15ft / BH shoe 17ft refusal,Shoe 0-5,N/A,U-W w/shoe,N/A,U-02 0-5,U-2 5-10,N/A,SOAP B-R + shoe,U-01 seg1 0-5ft,"""+SHOE""",N/A,w/shoe,"""+Shoe""",U-J,,B-E +shoe
Sample_ID,DSC_026,DSC_032,DSC_129,DSC_037,DSC_054,DSC_033,DSC_074,DSC_076,DSC_086,DSC_100,DSC_020,DSC_016b,DSC_016a,DSC_128,DSC_014,DSC_051,DSC_085,DSC_043,DSC_133,DSC_056,DSC_028,DSC_099,DSC_024,DSC_078,DSC_021,DSC_050,DSC_042,DSC_126,DSC_098,DSC_034,DSC_132,DSC_029,DSC_077,DSC_022,DSC_017,DSC_017-SHOE,DSC_030,DSC_040,DSC_019,DSC_055,DSC_010,DSC_130,DSC_041,DSC_039,DSC_082,DSC_127,DSC_015,DSC_025,DSC_101,DSC_131,DSC_049,DSC_092,DSC_075
empty_sieve_mass_g,822,823,1642,1644,820,830,1650,822,1639,1640,1646,816,816,1645,1649,1656,1656,490,1653,827+823,419,1637,1640,1649,1659,1654,1650,1643,491,1650,823,492,491,490,490,822,490,1644,1634,1641,1647,824,1640,825,827,824,488,821,1643,821,1640,1652,822
small_tin_mass_empty_g,3,3,2.92,2.88,3.11,3.03,2.9,2.9,2.9,2.89,2.88,2.94,2.91,3.13,2.93,2.9,2.91,2.9,3,3.19,3,3,3,3,3.03,3,3.06,3.07,3.04,3.05,3,3.04,3,2.9,3,N/A,2.92,3,3,3.06,3,2.9,2.85,3,2.89,2.91,2.84,2.83,2.9,3,2.94,2.92,2.95
tube_length_cm,34.2,31,78.9,40,37.5,29,35.4,40,49.6,50,83.7,100,100,49.3,37.5,54.9,40.2,99.9,79.2,40,96.5,98.3,49.8,32.1,47.7,41.3,92.6,35.7,92.7,49,47,99.8,77,68.5,98,7cm,46.2,40.5,41.3,34,40.5,35.3,49.7,44.5,17.8,33.4,96.5,35.7,61,32,44,36.08,31.5
pre_trim_photo_by,GB,LB,GDB,GDB,LB,LB,GDB,LB,EF,Not taken,SJS,AG,AG,GDB,GDB,SJS,SJS,GDB,SJS,SJS,LMB,GB,EF,EF,EF,SJS,EF,SJS,EF,EF,EF,EF,EF,SJS,EF,N/A,SJS,SJS,SJS,GDB,SJS,SJS,SJS,EF,SJS,LB,EF,EF,ND,EF,EF,ND,LB
subsampling_start_time,13:02,15:34,15:40,16:58,16:43,17:27,12:26,13:45,14:40,16:48,16:40,9:48,9:48,9:38,11:52,15:50,14:30,13:00,14:57,16:11,11:37,9:50,15:47,13:28,17:05,13:21,9:41,14:05,11:04,14:12,14:52,13:33,11:57,13:08,15:48,N/A,15:02,10:14,11:02,9:33,11:49,16:05,14:16,16:50,16:46,11:20,14:28,13:38,14:55,12:47,11:53,13:42,12:19
post_trim_photo_by,EF,LB,GDB,GDB,LB,LB,GDB,LB,EF,GDB,SJS,AG / GDB,AG / GDB,GdB,12:26,SJS,SJS,GDB,SJS,SJS,LMB,LB,EF,EF,EF,SJS,EF,SJS,EF,EF,EF,GDB,EF,SJS,EF,N/A,SJS,SJS,SJS,GDB,SJS,SJS,SJS,EF,SJS,LB,EF,EF,ND,EF,EF,ND,LB
removed_soil_mass_g,47,98,45,88.49,81.8,81.58,16.72,391,119,116.47,55.86,215,215,61.53,0,68.86,53.79,90.27,105.67,158.08,101.54,89.76,62.6,131.47,49.26,58.59,105.71,62.93,150.83,230,54.35,79.61,124.94,187,194.49,N/A,84.31,48.32,48.93,58.8,29.57,67.74,102.04,85.69,35.72,37.41,66.2,67.95,135.52,77.18,45.88,85.86,76.19
total_wet_mass_w_sieve_g,1504,1409,2764,2396,1564,1585,2377,1398,2773,2627,2455,1267,5029,2860,N/A,3005,2446,3278,3533,2500,2759,4449,2024,1444,1789,2650,4014,2298,2985,1793,1838,2951,2477,2181,3014,1011,2796,2801,2323,2444,2475,1480,2869,1691,1300,1754,3087,1481,3005,1698,2533,2521,1649
sieving_start_time,no_data,15:48,15:53,17:09,16:49,17:32,12:33,13:51,14:48,16:57,16:46,10:22,10:24,9:47,11:56,15:57,14:36,13:13,15:11,16:23,11:53,10:04,16:00,13:30,17:10,13:27,9:50,14:09,11:19,14:30,14:56,13:48,12:08,13:21,15:59,15:34,15:16,10:20,11:10,9:39,11:53,16:01,14:22,16:56,16:47,11:25,14:46,13:45,14:57,12:55,12:00,13:46,12:21
sieving_end_time,no_data,16:03,16:20,17:30,17:06,17:45,12:54,13:55,15:28,17:25,17:20,10:52,11:52,10:25,12:26,16:13,15:17,13:51,15:36,16:59,12:49,10:20,16:29,13:48,no_data,13:34,10:30,14:32,no_data,14:24,3:15,14:26,12:28,13:38,16:15,15:45,15:43,10:44,11:31,9:57,12:14,16:20,14:42,17:25,17:09,11:58,15:13,13:53,15:10,13:17,12:30,14:06,12:43
Lroot_full_mass_g,N/A,15.33,N/A,20.88,N/A,NA,25.67,N/A,15.96,24.54,4.23,18.56,18.56,N/A,N/A,N/A,1.01,N/A,15.82,18.46,13.68,N/A,18.5,N/A,15.51,N/A,N/A,38.05,23.6,N/A,N/A,19.07,80.73,N/A,19.31,3.06,46.81,N/A,23.33,N/A,10.29,13.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.88,31.34
Lroot_photo_by,N/A,LB,N/A,GDB,N/A,NA,EF,EF,AG,LB,SJS,EF,EF,N/A,N/A,N/A,SJS,N/A,SJS,SJS,NJD,N/A,EF,N/A,EF,SJS,N/A,SJS,EF,N/A,N/A,GDB,GDB,N/A,GDB,1.09,SJS,N/A,SJS,N/A,SJS,SJS,N/A,N/A,N/A,LB,N/A,N/A,N/A,N/A,N/A,ND,LB
rock_full_mass_g,14.27,35.14,47.16,31,23.82,50.45,18.36,60.31,22.53,23.2,19.33,N/A,28.28,40.65,12.96,72.61,21,134.13,35.12,249.24,22.44,35.24,35.08,42,45.89,24.7,53.65,11.5,35.47,156.75,24.41,35.78,207,161.3,190.64,LB,175.44,28.72,19.54,13.06,11.39,22.54,19.8,56.73,16,42.42,28.46,28.53,24,18.49,30.56,18.37,31.54
rock_photo_by,GB,LB,GDB,GDB,LB,GDB,EF,EF,AG,LB,SJS,N/A,EF,GDB,ND,SJS,SJS,LB,SJS,SJS,NJD,GDB,EF,EF,EF,SJS,EF,SJS,EF,EF,EF,GDB,GDB,SJS,GDB,15:50,SJS,SJS,SJS,GDB,SJS,SJS,SJS,LB,SJS,LB,EF,EF,ND,EF,EF,ND,LB
all_ROOTS_freeze_time,14:07,16:08,16:22,17:34,17:09,17:46,12:56,N/A,15:32,17:28,17:20,11:03,11:03,10:27,12:29,16:16,15:16,13:53,15:42,17:08,12:51,N/A,16:32,13:53,17:25,13:48,10:31,14:31,11:57,N/A,15:17,14:27,12:33,13:39,16:20,N/A,15:47,10:47,11:34,9:58,12:16,16:26,N/A,17:27,17:09,12.02,15:17,13:55,N/A,13:19,N/A,14:10,12:47
S_DNA_mass_g,46.92,51.84,49.04,67.1,66.32,55.78,51.98,39.98,49.94,48.33,47.07,N/A,54.43,42.32,54.56,61,46.36,58.36,47.29,61.3,38.26,66.64,62.18,63.74,54.89,55.49,36.36,62.63,36.44,68.52,52.51,51.96,55.31,74.85,50.91,N/A,50.09,44.5,54.56,54.5,63.37,53.48,68.7,56.04,57.63,69.03,66.31,60.61,64.16,56.24,68.67,53.08,57.97
