Sample_ID,name,value,photo_by
DSC_013,photo_Lroot,not_accounted_for,AG
DSC_013,photo_ROCK,not_accounted_for,AG
DSC_016A,photo_sampleClosed,not_accounted_for,AG
DSC_016B,photo_sampleClosed,not_accounted_for,AG
DSC_016A,photo_sampleOpen,not_accounted_for,AG / GDB
DSC_016B,photo_sampleOpen,not_accounted_for,AG / GDB
DSC_072,photo_Lroot,not_accounted_for,CST
DSC_072,photo_ROCK,not_accounted_for,CST
DSC_016A,photo_Lroot,not_accounted_for,EF
DSC_016A,photo_ROCK,not_accounted_for,EF
DSC_016B,photo_Lroot,not_accounted_for,EF
DSC_027,photo_sampleOpen,not_accounted_for,EF
DSC_039,photo_sampleOpen,not_accounted_for,EF
DSC_039,photo_sampleClosed,not_accounted_for,EF
DSC_073,photo_Lroot,not_accounted_for,EF
DSC_073,photo_ROCK,not_accounted_for,EF
DSC_098,photo_sampleOpen,not_accounted_for,EF
DSC_055,photo_ROCK,not_accounted_for,GDB
DSC_099,photo_ROCK,not_accounted_for,GDB
DSC_032,photo_sampleClosed,not_accounted_for,LB
DSC_039,photo_ROCK,not_accounted_for,LB
DSC_054,photo_ROCK,not_accounted_for,LB
DSC_028,photo_sampleClosed,not_accounted_for,LMB
DSC_014,photo_ROCK,not_accounted_for,ND
DSC_097,photo_Lroot,not_accounted_for,ND
DSC_097,photo_ROCK,not_accounted_for,ND
DSC_097,photo_sampleOpen,not_accounted_for,ND
DSC_097,photo_sampleClosed,not_accounted_for,ND
DSC_101,photo_ROCK,not_accounted_for,ND
DSC_101,photo_sampleOpen,not_accounted_for,ND
DSC_028,photo_Lroot,not_accounted_for,NJD
DSC_085,photo_Lroot,not_accounted_for,SJS
DSC_035,photo_Lroot,not_accounted_for,VF
DSC_035,photo_ROCK,not_accounted_for,VF
DSC_036,photo_Lroot,not_accounted_for,VF
DSC_036,photo_ROCK,not_accounted_for,VF
DSC_038,photo_Lroot,not_accounted_for,VF
DSC_038,photo_ROCK,not_accounted_for,VF
DSC_045,photo_Lroot,not_accounted_for,VF
DSC_045,photo_ROCK,not_accounted_for,VF
DSC_047,photo_Lroot,not_accounted_for,VF
DSC_047,photo_ROCK,not_accounted_for,VF
DSC_052,photo_Lroot,not_accounted_for,VF
DSC_052,photo_ROCK,not_accounted_for,VF
DSC_053,photo_Lroot,not_accounted_for,VF
DSC_053,photo_ROCK,not_accounted_for,VF
