Sample_ID,Sampling_date,Scribe_initials,Siever_1_initials,Siever_2_initials,Equip_mgr_initials,Lroot_empty_mass_g,rock_empty_mass_g,empty_sieve_mass_g,subsampling_start_time,total_wet_mass_w_sieve_g,all_ROOTS_freeze_time,RNA_A_freeze_time,RNA_B_and_C_freeze_time,S_DNA_mass_g,RESP_IS_mass_g,S_FM_mass_g,everything_cool_time,Lroot_full_mass_g,rock_full_mass_g,notes_during_collection_annotations,notes_during_transcription_AG,notes_during_transcription_EF,notes_during_collection_narritive,sieve_date,Lroot_photo_by,rock_photo_by,sieving_start_time,sieving_end_time,S_pH_mass_g,small_tin_mass_full_g,small_tin_mass_empty_g,large_tin_mass_full_g,all_set_to_dry_time,Animal_burrow_(Y/N),pre_trim_photo_by,post_trim_photo_by,removed_soil_mass_g,tube_length_cm,other_info_on_sample_tube (if present),Site,Core_ID,fraction,microsite,tnt,sample_bottom_depth,empty_tin_mass_g,field_moist_plus_tin_mass_g,air_dry_plus_tin_mass_g,oven_dry_plus_tin_mass_g,od_notes,FM_mass_g,AD_mass_g,OD_mass_g,AD_Factor,OD_Factor,diff,FM_moisture_percent,AD_moisture_percent,notes,Date.Measured,approx_soil_mass_g,CaCl2_mL,pH_1st_measurement,pH_2nd_measurement
DSC_071,20260616,CST,KN,N/A,N/A,15.5,15.5,819,10:36,981,10:50,10:51,10:52,34.7,50.83,68.18,10:56,16.66,21.25,NA,NA,NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-E,0-15_cm,S1,tree,15,2.85,8.08,8,7.86,NA,5.23,5.15,5.01,0.9847036328871892,0.9579349904397704,0.02676864244741883,4.3912175648702725,2.794411177644722,NA,8/13/2026,2.06,4.1,6.13,6.26
DSC_072,20260616,CST,AG,N/A,N/A,15.78,15.62,819,10:36,947,10:49,10:50,10:50,25,43,41,10:56,15.69,35.31,"In ""total_wet_mass_w_sieve_g"", scribe wrote ""947 (tared b4)""","Did not quite know how to interpret the ""tared b4"" note, but I remember a taring mistake being discussed between Camila, Kylee, and Glade and it sounded resolved. Adding empty_sieve_mass_g to total_soil_mass_w_sieve_g would put the total number much higher than similar samples, so I'm not doing any corrections.",NA,"""S_DNA was put in ice cooler first, then moved to dry ice @ 11:27""",20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-E,15-30_cm,S1,tree,30,2.9,7.95,7.48,7.37,NA,5.050000000000001,4.58,4.470000000000001,0.9069306930693068,0.8851485148514852,0.02178217821782169,12.97539149888143,2.4608501118568102,NA,8/13/2026,2,4,4.57,4.58
DSC_073,20260616,CST,KN,N/A,N/A,15.5,15.5,819,10:36,938,N/A,11:10,11:10,10.9,28.5,53,11:24,41.6,N/A,NA,NA,NA,"""Millipede in sample left in""; ""sample was all root""",20260616,EF,EF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-E,30-50_cm,S1,tree,50,2.93,8.04,4.75,4.6,NA,5.109999999999999,1.82,1.6699999999999997,0.35616438356164387,0.32681017612524454,0.02935420743639932,205.9880239520959,8.982035928143736,NA,8/13/2026,1,2,3.58,3.6
DSC_080,20260616,CST,KN,N/A,N/A,15.5,15.5,819,11:42,958,11:54,11:55,11:55,35,47,49,11:58,16,17.5,NA,NA,NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-R,0-15_cm,S1,no_tree,15,3,8.04,7.83,7.76,NA,5.039999999999999,4.83,4.76,0.9583333333333336,0.9444444444444444,0.01388888888888895,5.882352941176458,1.4705882352941235,NA,8/13/2026,2,4,5.3,5.28
DSC_081,20260616,CST,EF,N/A,N/A,15.78,15.62,819,11:42,1102,11:57,12:00,12:00,27,56,175,12:04,16.1,16.8,NA,NA,NA,"""Some charcoal put in LRoot""; ""worm""; ""S_DNA frozen first b4 RNA A/B/C""",20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-R,30-50_cm,S1,no_tree,50,2.82,7.96,7.57,7.5,NA,5.140000000000001,4.75,4.68,0.924124513618677,0.9105058365758754,0.01361867704280161,9.829059829059847,1.495726495726502,NA,8/13/2026,2,4,5.25,5.22
DSC_084,20260616,CST,EF,N/A,N/A,15.78,15.62,819,12:16,1009,12:28,12:30,12:30,33,50,98,12:35,16.2,18.8,NA,NA,NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-F,15-30_cm,S2,tree,30,2.93,8,7.73,7.61,NA,5.07,4.800000000000001,4.68,0.9467455621301776,0.923076923076923,0.02366863905325456,8.333333333333345,2.5641025641025856,NA,8/13/2026,1.95,3.9,5.95,5.93
DSC_089,20260616,CST,EF,N/A,N/A,15.78,15.78,819,13:49,979,13:59,14:00,14:00,22,47,93,14:05,16.4,17.37,NA,"Original gives subsampling_start_time as 1:49 (PM, from my clear memory of our working window). Transcribing this and other times in military time for clarity.",NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-S,15-30_cm,S2,no_tree,30,2.82,7.86,7.37,7.27,NA,5.040000000000001,4.550000000000001,4.449999999999999,0.9027777777777778,0.8829365079365077,0.0198412698412701,13.258426966292175,2.247191011235987,NA,8/13/2026,1.93,3.9,5.79,5.56
DSC_090,20260616,CST,KN,N/A,N/A,15.5,15.5,819,13:49,1075,13:59,14:01,14:01,41,53,143,14:05,15.91,17.28,NA,"Original gives subsampling_start_time as 1:49 (PM, from my clear memory of our working window). Transcribing this and other times in military time for clarity.",NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-S,30-50_cm,S2,no_tree,50,2.92,8,7.39,7.32,NA,5.08,4.47,4.4,0.8799212598425197,0.8661417322834646,0.01377952755905509,15.454545454545446,1.5909090909090773,NA,8/13/2026,1.93,3.9,5.69,5.46
DSC_091,20260616,CST,KN,N/A,N/A,15.5,15.5,819,14:18,983,14:23,14:23,14:23,42,62,49,14:26,16.1,20.3,"In ""ROOTS_W_and_ H_freeze_time"", scribe wrote ""no woody""","Original gives subsampling_start_time as 2:18 (PM, from my clear memory of our working window). Transcribing this and other times in military time for clarity.",NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-H,0-15_cm,S3,tree,15,2.83,7.95,7.86,7.78,NA,5.12,5.03,4.95,0.982421875,0.966796875,0.015625,3.434343434343433,1.6161616161616177,NA,8/13/2026,1.96,3.9,5.63,5.59
DSC_009,20260616,MK,AS,VF,MK,15.33,17.05,817,11:45,967,12:00,12:00,12:00,34,50,65,12:02,17.9,18:00,NA,NA,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples,SOAP,B-R,15-30_cm,S1,no_tree,30,3,7.93,7.58,7.49,NA,4.93,4.58,4.49,0.9290060851926978,0.9107505070993916,0.01825557809330624,9.799554565701548,2.0044543429844066,NA,8/13/2026,2.09,4.2,5.11,5.12
