Sample_ID,Sampling_date,Site,Scribe_initials,Siever_1_initials,Siever_2_initials,Equip_mgr_initials,Lroot_empty_mass_g,rock_empty_mass_g,Core_ID,fraction,empty_sieve_mass_g,subsampling_start_time,total_wet_mass_w_sieve_g,all_ROOTS_freeze_time,RNA_A_freeze_time,RNA_B_and_C_freeze_time,S_DNA_mass_g,RESP_IS_mass_g,S_FM_mass_g,everything_cool_time,Lroot_full_mass_g,rock_full_mass_g,notes_during_collection_annotations,notes_during_transcription_AG,notes_during_transcription_EF,notes_during_collection_narritive,sieve_date,Lroot_photo_by,rock_photo_by,sieving_start_time,sieving_end_time,S_pH_mass_g,small_tin_mass_full_g,small_tin_mass_empty_g,large_tin_mass_full_g,all_set_to_dry_time,Animal_burrow_(Y/N),pre_trim_photo_by,post_trim_photo_by,removed_soil_mass_g,tube_length_cm,other_info_on_sample_tube (if present)
DSC_071,20260616,SOAP,CST,KN,N/A,N/A,15.5,15.5,B-E,0-15_cm,819,10:36,981,10:50,10:51,10:52,34.7,50.83,68.18,10:56,16.66,21.25,NA,NA,NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_072,20260616,SOAP,CST,AG,N/A,N/A,15.78,15.62,B-E,15-30_cm,819,10:36,947,10:49,10:50,10:50,25,43,41,10:56,15.69,35.31,"In ""total_wet_mass_w_sieve_g"", scribe wrote ""947 (tared b4)""","Did not quite know how to interpret the ""tared b4"" note, but I remember a taring mistake being discussed between Camila, Kylee, and Glade and it sounded resolved. Adding empty_sieve_mass_g to total_soil_mass_w_sieve_g would put the total number much higher than similar samples, so I'm not doing any corrections.",NA,"""S_DNA was put in ice cooler first, then moved to dry ice @ 11:27""",20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_073,20260616,SOAP,CST,KN,N/A,N/A,15.5,15.5,B-E,30-50_cm,819,10:36,938,N/A,11:10,11:10,10.9,28.5,53,11:24,41.6,N/A,NA,NA,NA,"""Millipede in sample left in""; ""sample was all root""",20260616,EF,EF,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_080,20260616,SOAP,CST,KN,N/A,N/A,15.5,15.5,B-R,0-15_cm,819,11:42,958,11:54,11:55,11:55,35,47,49,11:58,16,17.5,NA,NA,NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_081,20260616,SOAP,CST,EF,N/A,N/A,15.78,15.62,B-R,30-50_cm,819,11:42,1102,11:57,12:00,12:00,27,56,175,12:04,16.1,16.8,NA,NA,NA,"""Some charcoal put in LRoot""; ""worm""; ""S_DNA frozen first b4 RNA A/B/C""",20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_084,20260616,SOAP,CST,EF,N/A,N/A,15.78,15.62,B-F,15-30_cm,819,12:16,1009,12:28,12:30,12:30,33,50,98,12:35,16.2,18.8,NA,NA,NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_089,20260616,SOAP,CST,EF,N/A,N/A,15.78,15.78,B-S,15-30_cm,819,13:49,979,13:59,14:00,14:00,22,47,93,14:05,16.4,17.37,NA,"Original gives subsampling_start_time as 1:49 (PM, from my clear memory of our working window). Transcribing this and other times in military time for clarity.",NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_090,20260616,SOAP,CST,KN,N/A,N/A,15.5,15.5,B-S,30-50_cm,819,13:49,1075,13:59,14:01,14:01,41,53,143,14:05,15.91,17.28,NA,"Original gives subsampling_start_time as 1:49 (PM, from my clear memory of our working window). Transcribing this and other times in military time for clarity.",NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_091,20260616,SOAP,CST,KN,N/A,N/A,15.5,15.5,B-H,0-15_cm,819,14:18,983,14:23,14:23,14:23,42,62,49,14:26,16.1,20.3,"In ""ROOTS_W_and_ H_freeze_time"", scribe wrote ""no woody""","Original gives subsampling_start_time as 2:18 (PM, from my clear memory of our working window). Transcribing this and other times in military time for clarity.",NA,NA,20260616,CST,CST,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
DSC_009,20260616,SOAP,MK,AS,VF,MK,15.33,17.05,B-R,15-30_cm,817,11:45,967,12:00,12:00,12:00,34,50,65,12:02,17.9,18:00,NA,NA,NA,NA,20260616,AG,AG,after_subsampling_start,before_everything_cool,volume_approximated_in_field,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,recorded_elsewhere_June2026?,NA_to_X_samples,not_recorded_for_X_samples,see_core_section_photos_from_field,see_core_section_photos_from_field,not_recorded_for_X_samples,not_recorded_for_X_samples,not_recorded_for_X_samples
