Sample_ID,empty_tin_mass_g,field_moist_plus_tin_mass_g,air_dry_plus_tin_mass_g,oven_dry_plus_tin_mass_g,
DSC_009,3,7.93,7.58,7.49,
DSC_010,3,55.67,50.33,49.46,
DSC_012,2.93,8,7.89,7.74,
DSC_013,3,7.94,7.68,7.6,
DSC_014,2.93,53.39,47.2,46.5,
DSC_015,2.84,53.85,47.77,46.95,
DSC_016A,2.91,56.69,49.94,48.91,
DSC_016B,2.94,53.15,49.6,48.84,
DSC_017,3,53.2,47.33,46.72,
DSC_018,2.92,8,7.69,7.59,
DSC_019,3,55.25,49.35,48.44,
DSC_020,2.88,50.48,44.84,44.23,
DSC_021,3.03,53.31,46.94,46.31,
DSC_022,2.9,60.97,56.25,55.77,
DSC_023,2.85,8,7.78,7.69,
DSC_024,3.07,8,7.81,7.74,
DSC_025,2.83,53.5,48.68,48.27,
DSC_026,3,55.45,49.74,49.13,
DSC_027,3,52.6,46.79,45.49,
DSC_028,3,56.17,49,48,
DSC_029,3.04,51.81,44.04,43.24,
DSC_030,2.92,50.92,44.2,43.52,
DSC_031,2.91,8,7.91,7.81,
DSC_032,3,51.83,47.46,46.73,
DSC_033,3.03,55.2,49.35,48.54,
DSC_034,3.05,53.84,51.74,51.36,
DSC_035,2.84,8,7.75,7.66,
DSC_036,3,8,7.77,7.69,
DSC_037,2.88,55.4,55.08,54.3,
DSC_038,2.83,8,7.77,7.67,
DSC_039,3,59.84,56.27,55.63,
DSC_040,3,56.38,52.29,51.61,
DSC_041,2.85,51.19,47.67,47.34,
DSC_042,3.06,54,49,48.42,
DSC_043,2.9,54.23,49.2,49,
DSC_044,2.94,10.55,10.44,DO NOT OVEN,
DSC_045,2.91,7.93,7.49,7.4,
DSC_046,2.87,8,7.55,7.46,
DSC_047,2.9,7.9,7.74,7.66,
DSC_048,2.95,8,7.92,7.9,
DSC_049,2.94,55.05,50.49,49.49,
DSC_050,3,51.73,48.09,47.34,
DSC_051,2.9,55.32,53.28,52.93,
DSC_052,2.83,8,7.78,7.7,
DSC_053,2.95,8,7.58,7.52,
DSC_054,3.11,55.88,51.26,50.48,
DSC_055,3.06,54.05,50.5,49.9,
DSC_056,3.19,57.36,56.39,56.12,
DSC_071,2.85,8.08,8,7.86,
DSC_072,2.9,7.95,7.48,7.37,
DSC_073,2.93,8.04,4.75,4.6,
DSC_074,2.9,54.43,48.74,48.3,
DSC_075,2.95,53.66,48.56,48,
DSC_076,2.9,53.08,51.47,51.31,
DSC_077,3,52.9,49.86,49.36,
DSC_078,3,52.85,50.57,50.3,
DSC_080,3,8.04,7.83,7.76,
DSC_081,2.82,7.96,7.57,7.5,
DSC_082,2.89,54.15,49.44,48.78,
DSC_084,2.93,8,7.73,7.61,
DSC_085,2.91,55.79,51.05,50.5,
DSC_086,2.9,57.96,51.85,51.1,
DSC_087,,,,,
DSC_088,,,,,
DSC_089,2.82,7.86,7.37,7.27,
DSC_090,2.92,8,7.39,7.32,
DSC_091,2.83,7.95,7.86,7.78,
DSC_092,2.91,8,7.65,7.58,
DSC_093,2.9,7.9,7.54,7.5,
DSC_094,2.96,24.52,24.55,DO NOT OVEN,
DSC_095,2.92,14.21,14.2,DO NOT OVEN,
DSC_096,2.84,7.96,7.78,7.71,
DSC_097,2.92,58.08,55.08,54.66,
DSC_098,3.04,50.77,46.44,45.88,
DSC_099,3,57.92,53.37,53.04,
DSC_100,2.89,57.97,54.43,54.03,
DSC_101,2.9,53.19,49.25,49.07,
DSC_102,2.93,8,7.81,7.76,
DSC_103,2.83,7.93,7.66,7.48,* may have spilled oven-dry soil before weighing
DSC_106,2.94,7.96,7.86,7.65,
DSC_107,2.94,8,7.65,7.5,
DSC_108,2.92,8,7.8,7.72,
DSC_109,2.85,7.94,7.71,7.64,
DSC_110,2.93,7.96,7.69,7.65,
DSC_111,2.86,8,7.66,7.58,
DSC_112,2.83,7.95,7.84,7.87,
DSC_126,3.07,50.73,47.83,47.7,
DSC_127,2.91,53.61,49.09,48.57,
DSC_128,3.13,53.08,48.06,47.56,
DSC_129,2.92,56.28,49,48.24,
DSC_130,2.9,50.91,47.86,47.41,
DSC_131,3,49.63,45.28,44.77,
DSC_132,3,53.43,48.31,47.68,
DSC_133,3,54.42,48.76,48.1,
