Sample_ID,"Equal or less than (g), First","cont. (g), Second","cont. (g), Third","cont. (g), Fourth",Oven (g),notes_in_line,notes_footnotes
DSC_009,one [check] 72..12 (+tin),NA,NA,NA,7.93 [check],,
DSC_010,652 [check] 587,NA,NA,NA,55.67 [check],,
DSC_012,one [check] 117,NA,NA,NA,8 [check],,
DSC_013,one [check] 174,NA,NA,NA,7.94 [check],,
DSC_014,438 [check] 386,284 [check] 251,NA,NA,53.39 [check],extra shoe 126,
DSC_015,564 [check] 578,535 [check] 480,543 [check] 499,780  [check] 586,53.85 [check],,something happened here - moved from one tin to another after weighing? all look the same. 
DSC_016A,404 [check] 356,514 [check] 452,504 [check] 444,NA,56.69 [check],,
DSC_016B,321 [check] 299,NA,NA,NA,53.15 [check],,
DSC_017,641 [check] 568,657 [check] 584,"412, 366","471, 418",53.12 [check],extra shoe 154,somehting happened here - spill? subsampled into moisture but not re-weighed? look the same. ! found two! additional hidden 365 + 585. Should have [AG can't read this word] to process. Figured out - see error notes. 
DSC_018,one [check] 35.93,NA,NA,NA,8 [check],,
DSC_019,544 [check] 486,NA,NA,NA,55.25 [check],,
DSC_020,389 [check] 345,294 [check] 261,NA,NA,50.48 [check],extra shoe 107,
DSC_021,275 [check] 241,501 [check] 447,NA,NA,53.31 [check],,
DSC_022,530 [check] 488,839 [check] 771,NA,NA,60.97 [check],,
DSC_023,one [check] 114,NA,NA,NA,8 [check],,
DSC_024,one [check] 136 (+tin),NA,NA,NA,8 [check],,
DSC_025,484 [check] 440,NA,NA,NA,53.5 [check],,
DSC_026,480 [check] 429,NA,NA,NA,55.45 [check],extra shoe 158,
DSC_027,501 [check] 443,542 [check] 481,NA,NA,52.6 [check],,
DSC_028,448 [check] 388,561 [check] 476,538 [check] 466,696 [check] 602,56.17 [check],extra shoe 165,
DSC_029,652 [check] 552,551 [check] 481,540  [check] 458,518 [check] 438,51.81 [check],,
DSC_030,650 [check] 562,NA,738 [check] 639,NA,50.92 [check],,
DSC_031,one [check] 40.52,NA,NA,NA,8 [check],,
DSC_032,422 [check] 386,NA,NA,NA,51.83 [check],,"two moisture tins, clearly different soils. figured out. "
DSC_033,476 [check] 425,NA,NA,NA,55.2 [check],extra shoe 165,
DSC_034,668 [check] 634,NA,NA,NA,53.84 [check],,
DSC_035,one [check] 112,NA,NA,NA,8 [check],,
DSC_036,one [check] 184,NA,NA,NA,8 [check],,
DSC_037,547 [check] 516,NA,NA,NA,55.4 [check],could be 58.4? --> see error notes,can't find but one unlabeled - see error notes
DSC_038,one [check] 88,NA,NA,NA,8 [check],,
DSC_039,661 [check] 622,NA,NA,NA,59.84 [check],,
DSC_040,468 [check] 433,465 [check] 432,NA,NA,56.38 [check],,
DSC_041,554 [check],510 [check],NA,NA,51.19 [check],,
DSC_042,820 [check] 742,658 [check] 593,745 [check] 670,NA,54 [check],,
DSC_043,1264 [check] 747,1193 [check] 671,third [check] 815,NA,54.23 [check],,
DSC_044,10.55 [check],NA,NA,NA,none,,
DSC_045,one [check] 61,NA,NA,NA,7.93 [check],,
DSC_046,one [check] 151,NA,NA,NA,8 [check],,
DSC_047,one [check] 89,NA,NA,NA,7.9 [check],,
DSC_048,one [check] 118,NA,NA,NA,8 [check],,
DSC_049,421 [check] 387,293 [check] 268,NA,NA,55.05 [check],,
DSC_050,380 [check] 354,478 [check] 444,NA,NA,51.73 [check],,
DSC_051,555 [check] 537,590 [check] 567,NA,NA,55.32 [check],,
DSC_052,one [check] 100.95,NA,NA,NA,8 [check],,
DSC_053,one [check] 194,NA,NA,NA,8 [check],,
DSC_054,597 [check] 538,NA,NA,NA,55.88 [check],,
DSC_055,649 [check] 605,NA,NA,NA,54.05 [check],,
DSC_056,440 [check] 433,NA,NA,NA,57.36 [check],,
DSC_071,one [check] 124,NA,NA,NA,8.08 [check],,
DSC_072,one [check] 43.78,NA,NA,NA,7.95 [check],,
DSC_073,one [check] 28,NA,NA,NA,8.04 [check],organic - this was just one large decaying root,
DSC_074,570 [check] 511,NA,NA,NA,54.43 [check],,
DSC_075,634 [check] 568,NA,NA,NA,53.66 [check],,
DSC_076,388 [check] 376,NA,NA,NA,53.08 [check],,
DSC_077,560 [check] 527,533 [check] 502,485 [check] 456,NA,53.9 [check],,
DSC_078,441 [check] 422,NA,NA,NA,53.85 [check],extra shoe 124,
DSC_080,one [check] 66,NA,NA,NA,8.04 [check],,
DSC_081,one [check] 185,NA,NA,NA,7.96 [check],,
DSC_082,305 [check] 273,NA,NA,NA,54.15 [check],,
DSC_084,one [check] 114,NA,NA,NA,8 [check],,
DSC_085,633 [check] 580,NA,NA,NA,55.79 [check],,
DSC_086,967 [check] 456,two tins [check] 419,NA,NA,57.96 [check],,
DSC_089,one [check] 98,NA,NA,NA,7.86 [check],,
DSC_090,one [check] 147,NA,NA,NA,8 [check],,
DSC_091,one [check] 72.00,NA,NA,NA,7.95 [check],,
DSC_092,one [check] 79,NA,NA,NA,8 [check],,
DSC_093,one [check] 105.66,NA,NA,NA,7.9 [check],,
DSC_094,24.52 [check],NA,NA,NA,none [check],,
DSC_095,14.21 [check],NA,NA,NA,none [check],,
DSC_096,one [check] 59,NA,NA,NA,7.96 [check],,
DSC_097,692 [check] 656,NA,NA,NA,58.08 [check],,
DSC_098,488 [check] 447,572 [check] 574?,765 [check] 696,483 [check] 442,50.77 [check],,"something wierd here with masses ... all same [AG can't read this word] except this one. About 60g higher than it should be? Original miswritten? Keeping seprate in extra bag. ""weird mass"""
DSC_099,974 [check] 894,737 [check] 677,914 [check] 839,NA,57.92 [check],,
DSC_100,816 [check] 479,two tins [check] 297,NA,NA,57.97 [check],,
DSC_101,533 [check] 492,701 [check] 648,NA,NA,53.19 [check],,
DSC_102,one [check] 152,NA,NA,NA,8 [check],,
DSC_103,"one [check] 213,",NA,NA,NA,7.93 [check],,
DSC_106,one [check] 89.22,NA,NA,NA,7.96 [check],,
DSC_107,one [check] 79,NA,NA,NA,8 [check],,
DSC_108,one [check] 87.53,NA,NA,NA,8 [check],,
DSC_109,one [check] 168,NA,NA,NA,7.94 [check],,
DSC_110,one [check] 131.47,NA,NA,NA,7.96 [check],,
DSC_111,one [check] 171,NA,NA,NA,8 [check],,
DSC_112,one [check] 63,NA,NA,NA,7.95 [check],,
DSC_126,485 [check] 459,NA,NA,NA,50.73 [check],,
DSC_127,737 [check] 674,NA,NA,NA,53.61 [check],,
DSC_128,489 [check] 442,535 [check] 483,NA,NA,53.08 [check],,
DSC_129,531 [check] 459,496 [check] 430,454 [check] 313,599  [check] 518,56.28 [check],,
DSC_130,509 [check] 477,NA,NA,NA,50.91 [check],,
DSC_131,443 [check] 403,281 [check] 256,NA,NA,49.63 [check],,
DSC_132,500 [check] 450,391 [check] 353,NA,NA,53.43 [check],,
DSC_133,657 [check] 590,596 [check] 535,566 [check] 508,NA,54.42 [check],,
