Sample_ID,empty_tin_mass_g,field_moist_plus_tin_mass_g,air_dry_plus_tin_mass_g,oven_dry_plus_tin_mass_g,od_notes,FM_mass_g,AD_mass_g,OD_mass_g,AD_Factor,OD_Factor,diff,FM_moisture_percent,AD_moisture_percent
DSC_009,3,7.93,7.58,7.49,,4.93,4.58,4.49,0.9290060851926978,0.9107505070993915,0.018255578093306246,9.799554565701547,2.0044543429844066
DSC_010,3,55.67,50.33,49.46,,52.67,47.33,46.46,0.8986140117714068,0.8820960698689956,0.016517941902411182,13.366336633663368,1.872578562204041
DSC_012,2.93,8,7.89,7.74,,5.07,4.959999999999999,4.8100000000000005,0.9783037475345165,0.9487179487179488,0.029585798816567754,5.4054054054054,3.1185031185030887
DSC_013,3,7.94,7.68,7.6,,4.94,4.68,4.6,0.9473684210526314,0.9311740890688258,0.0161943319838056,7.391304347826104,1.7391304347826104
DSC_014,2.93,53.39,47.2,46.5,,50.46,44.27,43.57,0.8773285770907651,0.8634562029330163,0.013872374157748779,15.813633233876523,1.6066100527886225
DSC_015,2.84,53.85,47.77,46.95,,51.010000000000005,44.93000000000001,44.11,0.8808076847676927,0.8647324054107037,0.016075279356988936,15.642711403309919,1.8589888914078607
DSC_016A,2.91,56.69,49.94,48.91,,53.78,47.03,46,0.874488657493492,0.8553365563406471,0.019152101152844936,16.91304347826087,2.239130434782611
DSC_016B,2.94,53.15,49.6,48.84,,50.21,46.660000000000004,45.900000000000006,0.9292969527982474,0.9141605257916751,0.015136427006572362,9.389978213507613,1.6557734204792982
DSC_017,3,53.2,47.33,46.72,,50.2,44.33,43.72,0.8830677290836653,0.8709163346613545,0.012151394422310724,14.821591948764876,1.3952424519670619
DSC_018,2.92,8,7.69,7.59,,5.08,4.7700000000000005,4.67,0.938976377952756,0.9192913385826771,0.019685039370078927,8.779443254817991,2.1413276231263496
DSC_019,3,55.25,49.35,48.44,,52.25,46.35,45.44,0.8870813397129187,0.8696650717703349,0.017416267942583774,14.986795774647893,2.0026408450704305
DSC_020,2.88,50.48,44.84,44.23,,47.599999999999994,41.96,41.349999999999994,0.8815126050420169,0.8686974789915967,0.012815126050420234,15.114873035066505,1.4752116082225069
DSC_021,3.03,53.31,46.94,46.31,,50.28,43.91,43.28,0.8733094669848845,0.8607796340493238,0.012529832935560759,16.173752310536045,1.4556377079482334
DSC_022,2.9,60.97,56.25,55.77,,58.07,53.35,52.870000000000005,0.9187187876700534,0.9104529016703978,0.008265885999655609,9.835445432192161,0.9078872706638865
DSC_023,2.85,8,7.78,7.69,,5.15,4.93,4.84,0.9572815533980581,0.9398058252427184,0.01747572815533971,6.404958677685961,1.8595041322314023
DSC_024,3.07,8,7.81,7.74,,4.93,4.74,4.67,0.9614604462474646,0.9472616632860041,0.014198782961460488,5.5674518201284755,1.498929336188443
DSC_025,2.83,53.5,48.68,48.27,,50.67,45.85,45.440000000000005,0.9048746792974146,0.8967831063745807,0.008091572922833912,11.509683098591541,0.9022887323943586
DSC_026,3,55.45,49.74,49.13,,52.45,46.74,46.13,0.8911344137273594,0.8795042897998093,0.011630123927550029,13.70041187947106,1.3223498807717309
DSC_027,3,52.6,46.79,45.49,,49.6,43.79,42.49,0.8828629032258064,0.8566532258064516,0.02620967741935476,16.7333490232996,3.059543421981636
DSC_028,3,56.17,49,48,,53.17,46,45,0.865149520406244,0.8463419221365431,0.01880759826970091,18.15555555555556,2.2222222222222223
DSC_029,3.04,51.81,44.04,43.24,,48.77,41,40.2,0.8406807463604674,0.8242772196022145,0.016403526758252962,21.318407960199004,1.9900497512437738
DSC_030,2.92,50.92,44.2,43.52,,48,41.28,40.6,0.86,0.8458333333333333,0.01416666666666666,18.226600985221673,1.6748768472906395
DSC_031,2.91,8,7.91,7.81,,5.09,5,4.8999999999999995,0.9823182711198428,0.9626719056974459,0.01964636542239695,3.8775510204081716,2.0408163265306234
DSC_032,3,51.83,47.46,46.73,,48.83,44.46,43.73,0.9105058365758756,0.895556010649191,0.01494982592668459,11.662474273953812,1.6693345529384955
DSC_033,3.03,55.2,49.35,48.54,,52.17,46.32,45.51,0.8878665899942495,0.8723404255319148,0.01552616446233468,14.634146341463422,1.7798286090969069
DSC_034,3.05,53.84,51.74,51.36,,50.790000000000006,48.690000000000005,48.31,0.958653278204371,0.9511714904508761,0.00748178775349484,5.133512730283593,0.7865866280273288
DSC_035,2.84,8,7.75,7.66,,5.16,4.91,4.82,0.9515503875968992,0.9341085271317829,0.01744186046511631,7.05394190871369,1.867219917012445
DSC_036,3,8,7.77,7.69,,5,4.77,4.69,0.954,0.9380000000000001,0.015999999999999903,6.609808102345408,1.705756929637509
DSC_037,2.88,55.4,55.08,54.3,,52.519999999999996,52.199999999999996,51.419999999999995,0.993907083015994,0.979055597867479,0.014851485148514976,2.1392454297938577,1.5169194865810993
DSC_038,2.83,8,7.77,7.67,,5.17,4.9399999999999995,4.84,0.955512572533849,0.9361702127659575,0.01934235976789156,6.81818181818182,2.0661157024793315
DSC_039,3,59.84,56.27,55.63,,56.84,53.27,52.63,0.937192118226601,0.9259324419422942,0.011259676284306797,7.999239977199317,1.216036481094434
DSC_040,3,56.38,52.29,51.61,,53.38,49.29,48.61,0.9233795428999625,0.9106406893967778,0.01273885350318471,9.81279572104506,1.3988891174655416
DSC_041,2.85,51.19,47.67,47.34,,48.339999999999996,44.82,44.49,0.9271824575920563,0.9203558129913116,0.006826644600744669,8.653630029220036,0.741739716790286
DSC_042,3.06,54,49,48.42,,50.94,45.94,45.36,0.9018453082057323,0.8904593639575972,0.011385944248135105,12.301587301587299,1.2786596119929416
DSC_043,2.9,54.23,49.2,49,,51.33,46.300000000000004,46.1,0.9020066238067408,0.8981102669004482,0.0038963569062926418,11.34490238611713,0.4338394793926309
DSC_045,2.91,7.93,7.49,7.4,,5.02,4.58,4.49,0.9123505976095618,0.8944223107569722,0.017928286852589626,11.804008908685953,2.0044543429844066
DSC_046,2.87,8,7.55,7.46,,5.13,4.68,4.59,0.9122807017543859,0.8947368421052632,0.01754385964912275,11.764705882352942,1.960784313725487
DSC_047,2.9,7.9,7.74,7.66,,5,4.84,4.76,0.968,0.952,0.016000000000000014,5.042016806722694,1.6806722689075646
DSC_048,2.95,8,7.92,7.9,,5.05,4.97,4.95,0.9841584158415841,0.9801980198019803,0.003960396039603853,2.0202020202020132,0.40404040404039543
DSC_049,2.94,55.05,50.49,49.49,,52.11,47.550000000000004,46.550000000000004,0.9124928036845136,0.8933026290539244,0.01919017463058914,11.944146079484414,2.148227712137486
DSC_050,3,51.73,48.09,47.34,,48.73,45.09,44.34,0.9253026882823724,0.9099117586702238,0.015390929612148607,9.900766801984648,1.6914749661705006
DSC_051,2.9,55.32,53.28,52.93,,52.42,50.38,50.03,0.9610835558946967,0.954406714994277,0.006676840900419756,4.77713371976814,0.6995802518488935
DSC_052,2.83,8,7.78,7.7,,5.17,4.95,4.87,0.9574468085106383,0.941972920696325,0.015473887814313358,6.160164271047224,1.6427104722792623
DSC_053,2.95,8,7.58,7.52,,5.05,4.63,4.569999999999999,0.9168316831683169,0.9049504950495049,0.011881188118812003,10.50328227571117,1.312910284463906
DSC_054,3.11,55.88,51.26,50.48,,52.77,48.15,47.37,0.9124502558271744,0.8976691301876065,0.014781125639567905,11.399620012666258,1.6466117796073492
DSC_055,3.06,54.05,50.5,49.9,,50.989999999999995,47.44,46.839999999999996,0.9303785055893313,0.9186114924494999,0.011767013139831417,8.859948761742098,1.2809564474807889
DSC_056,3.19,57.36,56.39,56.12,,54.17,53.2,52.93,0.9820934096363301,0.9771091009784013,0.00498430865792876,2.3427167957679993,0.5101076894011016
DSC_071,2.85,8.08,8,7.86,,5.23,5.15,5.01,0.9847036328871893,0.9579349904397705,0.026768642447418833,4.3912175648702725,2.794411177644722
DSC_072,2.9,7.95,7.48,7.37,,5.050000000000001,4.58,4.470000000000001,0.9069306930693068,0.8851485148514852,0.02178217821782169,12.97539149888143,2.4608501118568102
DSC_073,2.93,8.04,4.75,4.6,,5.109999999999999,1.8199999999999998,1.6699999999999995,0.35616438356164387,0.32681017612524454,0.029354207436399327,205.9880239520959,8.982035928143736
DSC_074,2.9,54.43,48.74,48.3,,51.53,45.84,45.4,0.8895788860857753,0.8810401707743062,0.008538715311469103,13.502202643171813,0.9691629955947243
DSC_075,2.95,53.66,48.56,48,,50.709999999999994,45.61,45.05,0.8994281206862553,0.8883849339380794,0.011043186748175948,12.56381798002219,1.2430632630410707
DSC_076,2.9,53.08,51.47,51.31,,50.18,48.57,48.410000000000004,0.9679155041849342,0.964726982861698,0.0031885213232362153,3.656269365833497,0.3305102251600838
DSC_077,3,52.9,49.86,49.36,,49.9,46.86,46.36,0.9390781563126253,0.9290581162324649,0.01002004008016033,7.635893011216564,1.0785159620362381
DSC_078,3,52.85,50.57,50.3,,49.85,47.57,47.3,0.9542627883650953,0.9488465396188565,0.005416248746238805,5.391120507399586,0.5708245243129031
DSC_080,3,8.04,7.83,7.76,,5.039999999999999,4.83,4.76,0.9583333333333335,0.9444444444444445,0.01388888888888895,5.882352941176458,1.4705882352941237
DSC_081,2.82,7.96,7.57,7.5,,5.140000000000001,4.75,4.68,0.924124513618677,0.9105058365758754,0.013618677042801619,9.829059829059847,1.495726495726502
DSC_082,2.89,54.15,49.44,48.78,,51.26,46.55,45.89,0.908115489660554,0.8952399531798674,0.012875536480686622,11.701895837873169,1.438221834822394
DSC_084,2.93,8,7.73,7.61,,5.07,4.800000000000001,4.68,0.9467455621301776,0.923076923076923,0.02366863905325456,8.333333333333345,2.5641025641025856
DSC_085,2.91,55.79,51.05,50.5,,52.879999999999995,48.14,47.59,0.9103630862329805,0.899962178517398,0.010400907715582441,11.115780626181953,1.155704980037817
DSC_086,2.9,57.96,51.85,51.1,,55.06,48.95,48.2,0.8890301489284417,0.8754086451144206,0.013621503814021052,14.232365145228213,1.5560165975103732
DSC_089,2.82,7.86,7.37,7.27,,5.040000000000001,4.550000000000001,4.449999999999999,0.9027777777777778,0.8829365079365077,0.019841269841270104,13.258426966292175,2.247191011235987
DSC_090,2.92,8,7.39,7.32,,5.08,4.47,4.4,0.8799212598425197,0.8661417322834646,0.013779527559055094,15.454545454545446,1.5909090909090773
DSC_091,2.83,7.95,7.86,7.78,,5.12,5.03,4.95,0.982421875,0.966796875,0.015625,3.434343434343433,1.6161616161616175
