SampleID,notes,Date Measured,mass soil plus tube (g),average 15 mL tube mass (g),Approximate soil mass (g),Approximate 0.01M CaCl2 to add (mL),Actual 0.01 CaCl2 added (mL),pH - first,pH - second
DSC_001,field moist,,,7.32,,,,,
DSC_002,field moist,,,7.32,,,,,
DSC_003,field moist,,,7.32,,,,,
DSC_004,field moist,,,7.32,,,,,
DSC_005,field moist,,,7.32,,,,,
DSC_006,field moist,,,7.32,,,,,
DSC_007,field moist,,,7.32,,,,,
DSC_001,air-dry,,NA,7.32,4.0,8.0,,,
DSC_002,air-dry,,NA,7.32,4.0,8.0,,,
DSC_003,air-dry,,NA,7.32,4.0,8.0,,,
DSC_004,air-dry,,NA,7.32,4.0,8.0,,,
DSC_005,air-dry,,NA,7.32,4.0,8.0,,,
DSC_006,air-dry,,NA,7.32,4.0,8.0,,,
DSC_007,air-dry,,NA,7.32,4.0,8.0,,,
DSC_pH_blank_01,,,NA,7.32,0,12.0,,,
SampleID,notes,Date Measured,mass soil plus tube (g),average 15 mL tube mass (g),Approximate soil mass (g),Approximate 0.01M CaCl2 to add (mL),Actual 0.01 CaCl2 added (mL),pH - first,pH - second
DSC_001,test - 4g,,NA,7.32,4.0,8.0,,,
DSC_002,test - 4g,,NA,7.32,4.0,8.0,,,
DSC_003,test - 4g,,NA,7.32,4.0,8.0,,,
DSC_004,test - 4g,,NA,7.32,4.0,8.0,,,
DSC_005,test - 4g,,NA,7.32,4.0,8.0,,,
DSC_006,test - 4g,,NA,7.32,4.0,8.0,,,
DSC_007,test - 4g,,NA,7.32,4.0,8.0,,,
DSC_001,test - 2g,,NA,7.32,2.0,4.0,,,
DSC_002,test - 2g,,NA,7.32,2.0,4.0,,,
DSC_003,test - 2g,,NA,7.32,2.0,4.0,,,
DSC_004,test - 2g,,NA,7.32,2.0,4.0,,,
DSC_005,test - 2g,,NA,7.32,2.0,4.0,,,
DSC_006,test - 2g,,NA,7.32,2.0,4.0,,,
DSC_007,test - 2g,,NA,7.32,2.0,4.0,,,
DSC_001,test - 1g,,NA,7.32,1.0,2.0,,,
DSC_002,test - 1g,,NA,7.32,1.0,2.0,,,
DSC_003,test - 1g,,NA,7.32,1.0,2.0,,,
DSC_004,test - 1g,,NA,7.32,1.0,2.0,,,
DSC_005,test - 1g,,NA,7.32,1.0,2.0,,,
DSC_006,test - 1g,,NA,7.32,1.0,2.0,,,
DSC_007,test - 1g,,NA,7.32,1.0,2.0,,,
DSC_pH_blank_02,,,NA,7.32,0,12.0,,,
SampleID,notes,Date Measured,mass soil plus tube (g),average 15 mL tube mass (g),Approximate soil mass (g),Approximate 0.01M CaCl2 to add (mL),Actual 0.01 CaCl2 added (mL),pH - first,pH - second
DSC_010,,8/7/2026,11,7.32,3.68,7.36,7.4,4.98,4.88
DSC_012,,8/13/2026,,7.32,2.06,4.12,4.1,4.64,5.05
DSC_013,,8/13/2026,,7.32,1.96,3.92,3.9,5.58,5.57
DSC_015,,8/7/2026,11.36,7.32,4.04,8.08,8.1,4.83,4.83
DSC_021,,8/7/2026,10.95,7.32,3.63,7.26,7.3,5.08,5.07
DSC_022,,8/7/2026,11.21,7.32,3.89,7.78,7.8,5.29,5.27
DSC_024,,8/13/2026,,7.32,1.95,3.9,3.9,6.07,6.03
DSC_026,,8/7/2026,11.22,7.32,3.9,7.8,7.8,4.67,4.68
DSC_034,,8/7/2026,11.97,7.32,4.65,9.3,9.3,5.21,5.14
DSC_038,,8/13/2026,,7.32,2,4,4,5.05,5.06
DSC_039,,8/7/2026,12,7.32,4.68,9.36,9.4,4.83,4.83
DSC_044,,8/13/2026,,7.32,1.07,2.14,2.1,4.44,4.48
DSC_047,,8/13/2026,,7.32,1.96,3.92,3.9,5.4,5.56
DSC_049,,8/7/2026,12.59,7.32,5.27,10.54,10.5,5.06,5.07
DSC_052,,8/13/2026,,7.32,1.94,3.88,3.9,4.55,4.58
DSC_075,,8/7/2026,11.27,7.32,3.95,7.9,7.9,4.66,4.68
DSC_091,,8/13/2026,,7.32,1.96,3.92,3.9,5.63,5.59
DSC_094,,8/13/2026,,7.32,1.08,2.16,2.2,4.23,4.22
DSC_103,,8/13/2026,,7.32,2,4,4,5.03,5.04
DSC_105,,8/13/2026,,7.32,1,2,2,4.91,4.91
DSC_106,,8/13/2026,,7.32,1,2,2,4.46,4.52
DSC_112,,8/13/2026,,7.32,2,4,4,5.03,5.04
DSC_130,,8/7/2026,11.37,7.32,4.05,8.1,8.1,4.82,4.81
DSC_pH_blank_highmass,,8/7/2026,,,,,10.5,5.37,5.03
DSC_pH_blank_lowmass,,8/13/2026,,,,,2,5.33,5.39
SampleID,notes,Date Measured,mass soil plus tube (g),average 15 mL tube mass (g),Approximate soil mass (g),Approximate 0.01M CaCl2 to add (mL),Actual 0.01 CaCl2 added (mL),pH - first,pH - second
DSC_009,,8/13/2026,,7.32,2.09,4.18,4.2,5.11,5.12
