Sample_ID,notes,Date.Measured,approx_soil_mass_g,CaCl2_mL,pH_1st_measurement,pH_2nd_measurement
DSC_010,,8/7/2026,3.68,7.4,4.98,4.88
DSC_012,,8/13/2026,2.06,4.1,4.64,5.05
DSC_013,,8/13/2026,1.96,3.9,5.58,5.57
DSC_015,,8/7/2026,4.04,8.1,4.83,4.83
DSC_021,,8/7/2026,3.63,7.3,5.08,5.07
DSC_022,,8/7/2026,3.89,7.8,5.29,5.27
DSC_024,,8/13/2026,1.95,3.9,6.07,6.03
DSC_026,,8/7/2026,3.9,7.8,4.67,4.68
DSC_034,,8/7/2026,4.65,9.3,5.21,5.14
DSC_038,,8/13/2026,2,4,5.05,5.06
DSC_039,,8/7/2026,4.68,9.4,4.83,4.83
DSC_044,,8/13/2026,1.07,2.1,4.44,4.48
DSC_047,,8/13/2026,1.96,3.9,5.4,5.56
DSC_049,,8/7/2026,5.27,10.5,5.06,5.07
DSC_052,,8/13/2026,1.94,3.9,4.55,4.58
DSC_075,,8/7/2026,3.95,7.9,4.66,4.68
DSC_091,,8/13/2026,1.96,3.9,5.63,5.59
DSC_094,,8/13/2026,1.08,2.2,4.23,4.22
DSC_103,,8/13/2026,2,4,5.03,5.04
DSC_105,,8/13/2026,1,2,4.91,4.91
DSC_106,,8/13/2026,1,2,4.46,4.52
DSC_112,,8/13/2026,2,4,5.03,5.04
DSC_130,,8/7/2026,4.05,8.1,4.82,4.81
DSC_pH_blank_highmass,,8/7/2026,,10.5,5.37,5.03
DSC_pH_blank_lowmass,,8/13/2026,,2,5.33,5.39
DSC_009,,8/13/2026,2.09,4.2,5.11,5.12
DSC_018,,8/13/2026,2.06,4.1,6.51,5.11
DSC_019,,8/10/2026,3.62,7.2,5.09,5.01
DSC_027,,8/10/2026,3.88,7.8,4.4,4.42
DSC_030,,8/10/2026,3.64,7.3,4.96,4.96
DSC_032,,8/10/2026,3.44,6.9,5.06,5.06
DSC_037,,8/10/2026,5.14,10.3,4.88,4.86
DSC_043,,8/10/2026,3.64,7.3,5.35,5.33
DSC_045,,8/13/2026,1.96,3.9,5.57,5.6
DSC_048,,8/13/2026,2,4,6.36,6.4
DSC_054,,8/10/2026,3.09,6.2,4.84,4.87
DSC_055,,8/10/2026,3.54,7.1,4.76,4.77
DSC_071,,8/13/2026,2.06,4.1,6.13,6.26
DSC_074,,8/10/2026,4.19,8.4,4.77,4.87
DSC_078,,8/10/2026,4.46,8.9,5.25,5.26
DSC_082,,8/10/2026,5.22,10.4,5.07,5.11
DSC_085,,8/10/2026,3.64,7.3,5.01,5.03
DSC_086,,8/10/2026,4.01,8,5.04,5.13
DSC_097,,8/10/2026,4.55,9.1,4.88,4.9
DSC_098,,8/10/2026,3.44,6.9,5.17,5.16
DSC_099,,8/10/2026,3.89,7.8,5.24,5.27
DSC_102,,8/13/2026,1.94,3.9,5.82,5.86
DSC_131,,8/10/2026,3.93,7.9,4.74,4.74
DSC_pH_blank_highmass,,8/10/2026,,10.5,5.66,5.33
DSC_pH_blank_lowmass,,8/13/2026,,2,5.33,5.39
DSC_014,,8/11/2026,4.42,8.8,5.24,5.2
DSC_016A,,8/11/2026,2.81,5.6,4.83,4.85
DSC_025,,8/11/2026,4.14,8.3,5.11,5.12
DSC_029,,8/11/2026,3.79,7.6,4.8,4.81
DSC_033,,8/11/2026,3.2,6.4,5.02,4.9
DSC_040,,8/11/2026,4.22,8.4,4.98,4.96
DSC_046,,8/13/2026,2,4,4.84,4.74
DSC_050,,8/11/2026,4.13,8.3,4.99,4.96
DSC_053,,8/13/2026,2,4,4.77,4.74
DSC_072,,8/13/2026,2,4,4.57,4.58
DSC_073,,8/13/2026,1,2,3.58,3.6
DSC_076,,8/11/2026,5.24,10.5,5.47,5.47
DSC_077,,8/11/2026,4.71,9.4,5.34,5.39
DSC_092,,8/13/2026,2.04,4.1,5.26,5.28
DSC_095,,8/13/2026,1.05,2.1,4.4,4.38
DSC_096,,8/13/2026,2,4,5.23,5.2
DSC_100,,8/11/2026,4.48,9,5.08,5
DSC_101,,8/11/2026,4.04,8.1,5.49,5.39
DSC_126,,8/11/2026,3.88,7.8,4.63,4.64
DSC_127,,8/11/2026,4.18,8.4,4.71,4.73
DSC_128,,8/11/2026,3.22,6.4,4.64,4.62
DSC_129,,8/11/2026,3.84,7.7,4.87,4.84
DSC_133,,8/11/2026,3.93,7.9,4.88,4.9
DSC_pH_blank_highmass,,8/11/2026,,10.5,5.3,5.36
DSC_pH_blank_lowmass,,8/13/2026,,2,5.33,5.39
DSC_016B,,8/11/2026,3.68,7.4,4.97,
DSC_017,,8/11/2026,4.36,8.7,4.92,4.94
DSC_020,,8/11/2026,2.78,5.6,4.79,4.85
DSC_023,,8/13/2026,1.94,3.9,5.61,5.63
DSC_028,,8/11/2026,3.42,6.8,4.5,4.55
DSC_031,,8/13/2026,2,4,5.37,5.4
DSC_035,,8/13/2026,1.93,3.9,5.33,5.33
DSC_036,,8/13/2026,2,4,5.26,5.24
DSC_041,,8/11/2026,5.07,10.1,5.38,5.3
DSC_042,,8/11/2026,4.27,8.5,4.95,5.33
DSC_051,,8/11/2026,5.31,10.6,5.01,5.06
DSC_056,,8/11/2026,5.33,10.7,5.03,5.04
DSC_080,,8/13/2026,2,4,5.3,5.28
DSC_081,,8/13/2026,2,4,5.25,5.22
DSC_084,,8/13/2026,1.95,3.9,5.95,5.93
DSC_089,,8/13/2026,1.93,3.9,5.79,5.56
DSC_090,,8/13/2026,1.93,3.9,5.69,5.46
DSC_093,,8/13/2026,2,4,5.24,5.21
DSC_107,,8/13/2026,2,4,5.19,5.16
DSC_108,,8/13/2026,2,4,5.14,5.11
DSC_109,,8/13/2026,2,4,5.12,5.12
DSC_110,,8/13/2026,1.95,3.9,5.12,5.13
DSC_111,,8/13/2026,2,4,5.13,5.14
DSC_132,,8/11/2026,3.13,6.3,4.83,4.86
DSC_pH_blank_highmass,,8/11/2026,,10.5,5.3,5.36
DSC_pH_blank_lowmass,,8/13/2026,,2,5.33,5.39
